ID;seq_num;name;Group_name;Label_name;Form_name;C_code;C_type;C_required;C_pattern;patterndesgin;parent_component_ID;date_modify;date_create;disable;label_icon
68;2;page_Date;NULL;page_Date;table1;L1068;label;1;0;NULL;10;"2020-01-04 14:17:05";"2020-01-04 14:17:05";1;"fas fa-user"
69;1;flowtype;NULL;flowtype;insertform;I1169;input;1;0;NULL;11;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
70;2;flowdescription;NULL;flowdescription;insertform;I1170;input;1;0;NULL;11;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
71;3;id;allstatusID;status;insertform;S1171;select;1;0;NULL;11;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
72;4;button;NULL;submit;insertform;B1172;button;1;0;NULL;11;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
73;1;flowtype;NULL;flowtype;table1;I1273;input;1;0;NULL;12;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
74;2;flowdescription;NULL;flowdescription;table1;I1274;input;1;0;NULL;12;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
75;3;id;allstatusID;status;table1;S1275;select;1;0;NULL;12;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
76;4;button;NULL;update;table1;B1276;button;1;0;NULL;12;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
77;1;currencyname;NULL;currencyname;insertform;I1377;input;1;0;NULL;13;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
78;2;currencydescription;NULL;flowdescription;insertform;I1378;input;1;0;NULL;13;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
79;2;currencyISO;NULL;currencyISO;insertform;I1379;input;1;0;NULL;13;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
80;3;id;allstatusID;status;insertform;S1380;select;1;0;NULL;13;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
81;4;button;NULL;submit;insertform;B1381;button;1;0;NULL;13;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
82;1;currencyname;NULL;currencyname;table1;I1482;input;1;0;NULL;14;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
83;2;currencydescription;NULL;currencydescription;table1;I1483;input;1;0;NULL;14;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
84;2;currencyISO;NULL;currencyISO;table1;I1484;input;1;0;NULL;14;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
85;3;id;allstatusID;status;table1;S1485;select;1;0;NULL;14;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
86;4;button;NULL;submit;table1;B1486;button;1;0;NULL;14;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
87;1;langaugecode;NULL;langaugecode;insertform;I1587;input;1;0;NULL;15;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
88;2;text1;NULL;Text;insertform;I1588;input;1;0;NULL;15;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
89;3;text2;NULL;Text;insertform;I1589;input;1;0;NULL;15;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
90;4;text3;NULL;Text;insertform;I1590;input;1;0;NULL;15;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
91;4;button;NULL;submit;insertform;B1591;button;1;0;NULL;15;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
92;1;langaugecode;NULL;langaugecode;table1;L1692;label;1;0;NULL;16;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
93;2;text1;NULL;EN;table1;I1693;input;1;0;NULL;16;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
94;3;text2;NULL;AR;table1;I1694;input;1;0;NULL;16;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
95;4;text3;NULL;FR;table1;I1695;input;1;0;NULL;16;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
96;5;button;NULL;submit;table1;B1696;button;1;0;NULL;16;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
97;1;button1;NULL;delete;table1;B1697;button;1;0;NULL;16;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
98;3;languagename;NULL;languagename;insertform;I1798;input;1;0;NULL;17;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
99;2;languagecode;NULL;languagecode;insertform;I1799;input;1;0;NULL;17;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
100;3;button;NULL;submit;insertform;B17100;button;1;0;NULL;17;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
101;1;languagename;NULL;languagename;table1;I18101;input;1;0;NULL;18;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
102;2;languagecode;NULL;languagecode;table1;I18102;input;1;0;NULL;18;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
103;3;button;NULL;submit;table1;B18103;button;1;0;NULL;18;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
104;1;id;userID;userID;insertform;S19104;select;1;0;NULL;19;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
105;2;username;NULL;username;insertform;I19105;input;1;0;NULL;19;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
106;3;passwordEncy;NULL;passwordEncy;insertform;I19106;input;1;0;NULL;19;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
107;4;notes;NULL;notes;insertform;I19107;input;1;0;NULL;19;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
108;5;button;NULL;submit;insertform;B19108;button;1;0;NULL;19;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
109;1;firstName;userID;userID;table1;L20109;label;1;0;NULL;20;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
110;2;username;NULL;username;table1;I20110;input;1;0;NULL;20;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
111;3;passwordEncy;NULL;passwordEncy;table1;I20111;password;1;0;NULL;20;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
112;4;notes;NULL;notes;table1;I20112;input;1;0;NULL;20;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
113;5;button;NULL;submit;table1;B20113;button;1;0;NULL;20;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
114;1;username;NULL;username;insertform;I21114;input;1;0;NULL;21;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
115;2;password;NULL;password;insertform;I21115;input;1;0;NULL;21;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
116;3;button;NULL;submit;table1;B21116;button;1;0;NULL;21;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
